Episode,Frames,Total Reward,Epsilon,Loss,Max Q-Value,Lives Lost,End Time
1027,505,155.0,0.5100373000161312,0.24174893191545316,59.17449,3,2024-07-29 12:12:53
1028,660,290.0,0.5094433000161508,0.2510771459476514,79.780075,3,2024-07-29 12:14:01
1029,495,180.0,0.5089978000161655,0.2681721371833724,63.14188,3,2024-07-29 12:14:53
1030,464,180.0,0.5085802000161792,0.23230013084308854,59.5031,3,2024-07-29 12:15:41
1031,383,155.0,0.5082355000161906,0.24359949563408645,61.942314,3,2024-07-29 12:16:21
1032,445,135.0,0.5078350000162037,0.2497906137383386,66.08288,3,2024-07-29 12:17:07
1033,569,225.0,0.5073229000162206,0.2528223106752171,62.429737,3,2024-07-29 12:18:05
1034,433,110.0,0.5069332000162334,0.2760884311678228,58.837036,3,2024-07-29 12:18:51
1035,440,155.0,0.5065372000162465,0.24427410486069592,64.759735,3,2024-07-29 12:19:37
1036,957,375.0,0.5056759000162748,0.2570266082742745,74.1338,3,2024-07-29 12:21:16
1037,1049,665.0,0.5047318000163059,0.2518045979954153,67.99073,3,2024-07-29 12:23:06
1038,505,210.0,0.5042773000163209,0.26403176772712483,73.74427,3,2024-07-29 12:23:58
1039,1044,595.0,0.5033377000163518,0.2704684423618161,75.61867,3,2024-07-29 12:25:48
1040,1024,365.0,0.5024161000163821,0.24458107522514183,72.38515,3,2024-07-29 12:27:36
1041,391,180.0,0.5020642000163937,0.27406654287787047,75.15157,3,2024-07-29 12:28:18
1042,461,210.0,0.5016493000164074,0.2723947396247351,76.97784,3,2024-07-29 12:29:08
1043,463,210.0,0.5012326000164211,0.2491008149496165,62.358395,3,2024-07-29 12:29:56
1044,710,345.0,0.5005936000164422,0.23933938640943717,71.89172,3,2024-07-29 12:31:11
1045,1189,600.0,0.49952350001644796,0.24819743099385094,62.017414,3,2024-07-29 12:33:16
1046,462,180.0,0.499107700016436,0.2600383042515098,63.090622,3,2024-07-29 12:34:04
1047,544,210.0,0.49861810001642193,0.2632235860561623,63.26845,3,2024-07-29 12:35:01
1048,626,250.0,0.4980547000164057,0.23955368657652942,62.077034,3,2024-07-29 12:36:06
1049,827,340.0,0.4973104000163843,0.24657581746578217,74.35315,3,2024-07-29 12:37:34
1050,616,210.0,0.4967560000163684,0.23507785918070123,74.779816,3,2024-07-29 12:38:39
1051,987,530.0,0.49586770001634284,0.2504526258058461,89.86415,3,2024-07-29 12:40:23
1052,384,155.0,0.4955221000163329,0.2728981755208224,66.99911,3,2024-07-29 12:41:03
1053,778,520.0,0.49482190001631277,0.2465623402273747,65.97456,3,2024-07-29 12:42:26
1054,575,235.0,0.4943044000162979,0.26130540059960405,67.25053,3,2024-07-29 12:43:27
1055,591,215.0,0.4937725000162826,0.26161712856865577,64.5403,3,2024-07-29 12:44:28
1056,249,45.0,0.49354840001627615,0.27223037883459805,63.27398,3,2024-07-29 12:44:55
1057,406,180.0,0.49318300001626564,0.2755214692336585,67.81134,3,2024-07-29 12:45:37
1058,615,225.0,0.4926295000162497,0.28380908105916125,81.6258,3,2024-07-29 12:46:41
1059,560,210.0,0.49212550001623523,0.2516239505261183,65.52117,3,2024-07-29 12:47:39
1060,453,135.0,0.4917178000162235,0.26429472255127845,71.13336,3,2024-07-29 12:48:26
1061,527,150.0,0.49124350001620987,0.2579338910796837,67.59581,3,2024-07-29 12:49:23
1062,600,240.0,0.49070350001619434,0.2464318083723386,83.076195,3,2024-07-29 12:50:26
1063,375,180.0,0.49036600001618463,0.2516615386009216,85.03351,3,2024-07-29 12:51:05
1064,610,460.0,0.48981700001616885,0.2405258331142488,82.56193,3,2024-07-29 12:52:08
1065,721,290.0,0.4891681000161502,0.2619740004843713,67.0429,3,2024-07-29 12:53:24
1066,453,110.0,0.48876040001613846,0.25727475590790083,63.17977,3,2024-07-29 12:54:13
1067,604,215.0,0.48821680001612283,0.2638881199604628,62.725506,3,2024-07-29 12:55:16
1068,622,485.0,0.48765700001610673,0.24343183581564587,61.369343,3,2024-07-29 12:56:22
1069,590,210.0,0.48712600001609146,0.27580502371666793,58.117744,3,2024-07-29 12:57:24
1070,534,210.0,0.48664540001607764,0.24782341969816873,78.224106,3,2024-07-29 12:58:20
1071,618,210.0,0.48608920001606165,0.24686248325607152,62.37724,3,2024-07-29 12:59:24
1072,573,230.0,0.4855735000160468,0.26979153412174806,67.66204,3,2024-07-29 13:00:24
1073,1025,365.0,0.4846510000160203,0.2720887199698425,68.8182,3,2024-07-29 13:02:12
1074,585,260.0,0.48412450001600515,0.26146020201536324,64.15149,3,2024-07-29 13:03:14
1075,586,440.0,0.48359710001599,0.2648013208709886,64.31045,3,2024-07-29 13:04:17
1076,581,225.0,0.48307420001597495,0.2392358813761844,85.24688,3,2024-07-29 13:05:18
1077,288,100.0,0.4828150000159675,0.22237586416304111,67.49328,3,2024-07-29 13:05:48
1078,605,215.0,0.48227050001595184,0.2918873305655708,59.7675,3,2024-07-29 13:06:52
1079,601,225.0,0.4817296000159363,0.2563077607339313,83.47102,3,2024-07-29 13:07:56
1080,601,230.0,0.48118870001592073,0.26625401691569267,81.17183,3,2024-07-29 13:08:59
1081,591,210.0,0.48065680001590544,0.2683136860529582,69.18136,3,2024-07-29 13:10:00
1082,629,240.0,0.48009070001588916,0.2579557532725918,70.24342,3,2024-07-29 13:11:06
1083,744,395.0,0.4794211000158699,0.2704168729964764,89.554214,3,2024-07-29 13:12:25
1084,692,290.0,0.478798300015852,0.25713402123292745,91.679504,3,2024-07-29 13:13:39
1085,1024,590.0,0.4778767000158255,0.2617322057194542,68.87624,3,2024-07-29 13:15:25
1086,508,210.0,0.47741950001581235,0.28096124248241816,78.84883,3,2024-07-29 13:16:18
1087,591,285.0,0.47688760001579705,0.26190311770552105,77.75719,3,2024-07-29 13:17:20
1088,489,210.0,0.4764475000157844,0.23381326114473167,77.89241,3,2024-07-29 13:18:12
1089,376,150.0,0.47610910001577467,0.2552539669373568,69.874664,3,2024-07-29 13:18:51
1090,733,330.0,0.4754494000157557,0.24210901210773203,74.28774,3,2024-07-29 13:20:08
1091,298,110.0,0.475181200015748,0.23414730065620987,61.746574,3,2024-07-29 13:20:40
1092,348,135.0,0.474868000015739,0.24163095113532296,71.34549,3,2024-07-29 13:21:17
1093,592,210.0,0.47433520001572366,0.2519769124888085,75.26424,3,2024-07-29 13:22:19
1094,677,260.0,0.47372590001570614,0.2576015650169536,87.331055,3,2024-07-29 13:23:31
1095,637,240.0,0.47315260001568965,0.24830618000105376,91.10152,3,2024-07-29 13:24:38
1096,445,210.0,0.47275210001567813,0.2609333501103219,78.88039,3,2024-07-29 13:25:25
1097,673,265.0,0.4721464000156607,0.2714038513833311,72.25303,3,2024-07-29 13:26:37
1098,494,210.0,0.47170180001564793,0.2382654866829575,60.644985,3,2024-07-29 13:27:29
1099,593,260.0,0.4711681000156326,0.26772032816333674,87.09093,3,2024-07-29 13:28:33
1100,478,210.0,0.4707379000156202,0.25289988966666505,76.031334,3,2024-07-29 13:29:24
1101,497,210.0,0.47029060001560735,0.25672842954965663,81.23656,3,2024-07-29 13:30:16
1102,617,280.0,0.4697353000155914,0.25728196499799794,84.79724,3,2024-07-29 13:31:22
1103,816,390.0,0.46900090001557027,0.2356106821703268,68.74208,3,2024-07-29 13:32:48
1104,544,210.0,0.4685113000155562,0.24966243057347395,74.39035,3,2024-07-29 13:33:47
